Tên Sản Phẩm,Giá,Thương Hiệu,Loại,Mã Sản Phẩm,Năm Đăng Ký,Dung Tích,Màu Sắc,Tình Trạng,Smartkey,Thông Tin Sản Phẩm
SH CBS 29V-651AC,66.500.000₫,Honda,SH,29V-651AC,2019,125cc,Đen,Còn hàng,,"Honda SH CBS, màu đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Airblade 88L-063JD,13.800.000₫,Honda,Airblade,88L-063JD,2011,110cc,Đen bạc,Còn hàng,,"Honda Airblade, màu đen bạc, dung tích 110cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH ABS 29B-779BJ,62.500.000₫,Honda,SH,29B-779BJ,2015,125cc,Xanh đen,Còn hàng,,"Honda SH ABS, màu xanh đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
SH Mode 29L-666KJ,44.000.000₫,Honda,SH mode,29L-666KJ,2017,125cc,Đen bạc,Còn hàng,,"Honda SH Mode, màu bạc đen, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Future Fi 19E-341GB,19.800.000₫,Honda,Future,19E-341GB,2020,110cc,Đỏ đen,Còn hàng,,"Honda Future Fi, màu đỏ đen, dung tích 125cc. Xe đẹp long lanh, không một lỗi nhỏ. Future 125 FI mới vẫn sử dụng động cơ 4 kỳ, cam đơn SOHC, dung tích 125 phân khối và có phun xăng điện tử giúp tiết kiệm nhiên lFUiệu. Bản FI cho công suất tối đa 9,47 HP @ 7.500 RPM cùng momen xoắn cực đại 10,6 Nm @ 5.500 RPM. Ngoài ra xe còn được trang bị hộc đựng đồ U-Box đủ chứa một nón bảo hiểm nguyên đầu và hệ thống kiểm soát hơi xăng EVAPO thân thiện với môi trường, giúp giảm thiểu tối đa sự phát tán hơi xăng ra không khí."
Lead 29P-383JE,23.800.000₫,Honda,Lead,29P-383JE,2014,125cc,Xám,Còn hàng,,"Honda Lead, màu xám, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH 29V-101KJ,42.000.000₫,Honda,SH,29V-101KJ,2013,125cc,Đen,Còn hàng,,"Honda SH, màu đen, dung tích 125cc, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 21B-288BH,29.800.000₫,Honda,Vision,21B-288BH,2022,110cc,Đỏ,Còn hàng,,"Honda Vision, khóa smartkey, màu đỏ nâu, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Wave RSX 29T-060FB,11.200.000₫,Honda,Wave rsx,29T-060FB,2011,110cc,Đen đỏ,Còn hàng,,"Honda Wave RSX, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29V-685AJ,39.800.000₫,Honda,Airblade,29V-685AJ,2022,125cc,Xanh đen,Còn hàng,,"Honda Airblade, khóa smartkey, màu xanh đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 29M-062EE,13.500.000₫,Honda,Airblade,29M-062EE,2011,110cc,Đỏ đen,Còn hàng,,"Honda Airblade, màu đen đỏ dung tích 110cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH Mode 29X-360AC,42.000.000₫,Honda,SH Mode,29X-360AC,2023,125cc,Trắng nâu,Còn hàng,,"Honda SH Mode, màu trắng nâu, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Wave RSX FI 35B-000EA,11.500.000₫,Honda,Wave rsx,35B-000EA,2016,110cc,Đỏ đen,Còn hàng,,"Honda Wave RSX FI, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29B-471AA,21.000.000₫,Honda,Airblade,29B-471AA,2014,125cc,Bạc đen,Còn hàng,,"Honda Airblade, màu bạc đen, dung tích 125cc, xe đẹp đi rất ít. Xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Lead 88L-616BE,30.200.000₫,Honda,Lead,88L-616BE,2020,125cc,Đỏ đen,Còn hàng,,"Honda Lead, khóa smartkey, màu đỏ đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Vision 15B-918FD,26.300.000₫,Honda,Vision,15B-918FD,2021,110cc,Đen nâu,Còn hàng,,"Honda Vision, khóa smartkey, màu đen nâu, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Lead 30X-61AD,11.300.000₫,Honda,Lead,30X-61AD,2010,110cc,Đỏ đen,Còn hàng,,"Honda Lead, màu đỏ đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Wave A 36R-78CK,11.800.000₫,Honda,Wave A,36R-78CK,2010,100cc,Vàng,Còn hàng,,"Honda Wave A, màu trắng đen bạc, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29L-941AG,42.800.000₫,Honda,Airblade,29L-941AG,2023,125cc,Đen vàng,Còn hàng,,"Honda Airblade, khóa smartkey, màu đen vàng, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade 29H-037JJ,13.500.000₫,Honda,Airblade,29H-037JJ,2011,110cc,Đỏ đen,Còn hàng,,"Honda Airblade, màu đen bạc, dung tích 110cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Wave A 29Y-51AK,9.800.000₫,Honda,Wave A,29Y-51AK,2007,100cc,Đỏ đen,Còn hàng,,"Honda Wave A, màu đỏ đen bạc, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Lead 37G-167FA,28.500.000₫,Honda,Lead,37G-167FA,2020,125cc,Vàng nâu,Còn hàng,,"Honda Lead, khóa smartkey, màu vàng đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Vision 35B-005G,28.800.000₫,Honda,Vision,35B-005G,2022,110cc,Xanh đen,Còn hàng,,"Honda Vision, khóa smartkey, màu xanh đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Vision 29D-904FE,22.000.000₫,Honda,Vision,29D-904FE,2016,110cc,Đỏ đen,Còn hàng,,"Honda Vision, màu đỏ đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Winner X 29V-701DG,24.000.000₫,Honda,Winner,29V-701DG,2020,150cc,Đen xanh,Còn hàng,,"Honda Winner X, dung tích 150cc, màu đen xanh. Xe đẹp xuất sắc, xe nên đẹp như mới, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
SH CBS 29E-687CF,70.300.000₫,Honda,SH,29E-687CF,2020,125cc,Đen,Còn hàng,,"Honda SH CBS, màu đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Airblade 18C-374AE,33.000.000₫,Honda,Airblade,18C-374AE,2021,125cc,Xanh đen,Còn hàng,,"Honda Airblade, khóa smartkey, màu xanh đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Wave A 29Y-370FK,16.000.000₫,Honda,Wave A,29Y-370FK,2016,100cc,Đỏ đen,Còn hàng,,"Honda Wave A, màu đỏ đen bạc, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade 29G-348FD,21.000.000₫,Honda,Airbade,29G-348FD,2013,125cc,Đỏ đen,Còn hàng,,"Honda Airblade, màu đỏ đen, dung tích 125cc, xe đẹp đi rất ít. Xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH Mode 29H-222CD,61.000.000₫,Honda,SH Mode,29H-222CD,2020,125cc,Bạc đen,Còn hàng,,"Honda SH Mode, khóa smartkey, màu bạc đen, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Wave S 29B-054AG,7.500.000₫,Honda,Wave S,,,,,Hết hàng,,"Honda Wave S, màu đen bạc, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Wave A 29E-343GA,13.300.000₫,Honda,Wave A,29E2-34371,2018,110cc,Trắng đen,Còn hàng,,"Honda Wave A, màu trắng đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
SH Mode 29N-303BH,34.300.000₫,Honda,SH Mode,29N-303BH,2014,125cc,Trắng nâu,Còn hàng,,"Honda SH Mode, màu trắng nâu, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Crea 29A-352DH,15.000.000₫,Honda,Crea,,,,,Hết hàng,,"Xe ga Crea, màu đen trắng, dung tích 50cc. Xe Crea hoàn toàn mới được trang bị động cơ 4 thì, làm mát bằng gió, dung tích xy-lanh 49,5 cm3. Do đó, người điều khiển xe Crea không cần phải có bằng lái xe. Nhờ đặc tính này, xe Crea sẽ là lựa chọn rất phù hợp cho các học sinh, sinh viên và phụ nữ, những người cần một phương tiện di chuyển nhỏ gọn, đơn giản và tiện lợi."
Airblade 29D-445FA,18.000.000₫,Honda,Airblade,,,,,Hết hàng,,"Honda Airblade, màu vàng đen, dung tích 125cc, xe đẹp đi rất ít. Xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Future 1 29P-08BG,13.300.000₫,Honda,Future,29P-08BG,2003,110cc,Xanh,Còn hàng,,"Honda Future 1 màu xanh, dung tích 110cc. Xe đẹp, nilon dán cả xe, đi rất ít. Future mới vẫn sử dụng động cơ 4 kỳ, cam đơn SOHC, dung tích 125 phân khối và có phun xăng điện tử giúp tiết kiệm nhiên liệu. Bản FI cho công suất tối đa 9,47 HP @ 7.500 RPM cùng momen xoắn cực đại 10,6 Nm @ 5.500 RPM. Ngoài ra xe còn được trang bị hộc đựng đồ U-Box đủ chứa một nón bảo hiểm nguyên đầu và hệ thống kiểm soát hơi xăng EVAPO thân thiện với môi trường, giúp giảm thiểu tối đa sự phát tán hơi xăng ra không khí."
Wave RSX FI 29N-741CF,17.000.000₫,Honda,Wave rsx,29N-741CF,2019,110cc,Xám đen,Còn hàng,,"Honda Wave RSX FI, vành đúc, phanh đĩa, màu x đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
SH 29B-55187,43.500.000₫,Honda,SH,29B-55187,2015,125cc,Trắng đen,Còn hàng,,"Honda SH, màu trắng đen, dung tích 125cc, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
SH ABS 29Y-670KK,76.000.000₫,Honda,SH,29Y-670KK,2020,125cc,Đen,Còn hàng,,"Honda SH ABS, màu đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Wave A 29K-97569,16.800.000₫,Honda,Wave A,"29K-97569,",2020,110cc,Trắng đen,Còn hàng,,"Honda Wave A, màu trắng đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Airblade Fi 30X-38DA,15.800.000₫,Honda,Airblade,"30X-38DA,",2009,110cc,Đỏ đen,Còn hàng,,"Honda Airblade Fi, form nhỏ, màu đỏ đen, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Lead 35B-425BK,25.500.000₫,Honda,Lead,35B-425BK,2018,125cc,Vàng đen,Còn hàng,,"Honda Lead, khóa smartkey, màu vàng đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH CBS 29K-959CA,81.000.000₫,Honda,SH,29K-959CA,2021,150cc,Đỏ đen,Còn hàng,,"Honda SH CBS, màu đỏ đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Lead 18E-110KH,10.500.000₫,Honda,Lead,18E-110KH,2013,110cc,Vàng đen,Còn hàng,,"Honda Lead, màu vàng đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Airblade 29B-084BF,33.000.000₫,Honda,Airblade,29B-084BF,2020,125cc,Bạc xanh đen,Còn hàng,,"Honda Airblade, màu bạc xanh đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH 29D-941GK,57.500.000₫,Honda,SH,29D-941GK,2016,150cc,Đen,Còn hàng,,"Honda SH, màu đen, dung tích 150cc, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 69B-337KF,22.800.000₫,Honda,Vision,69B-337KF,2018,110cc,Đen,Còn hàng,,"Honda Vision, đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Wave Blade 89B-642HH,11.800.000₫,Honda,Wave Blade,89B-642HH,2018,110cc,Đỏ đen,Còn hàng,,"Honda Wave Blade, màu đỏ đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Wave RSX FI 29E-759BE,18.300.000₫,Honda,Wave rsx,29E-759BE,2021,110cc,Xanh đen,Còn hàng,,"Honda Wave RSX FI, màu xanh đen , dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Vision 29S-317GG,14.000.000₫,Honda,Vision,29S-317GG,2013,110cc,Đen bạc,Còn hàng,,"Honda Vision, màu đỏ đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Wave A 29A-063AC,8.000.000₫,Honda,Wave A,29A-063AC,2020,50cc,Xanh bạc,Còn hàng,,"Honda Wave A, màu xanh bạc, dung tích 50cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
